Title,US Gross,US Gross Normz,Worldwide Gross,Worldwide Gross Normz,US DVD Sales,US DVD Sales Normz,MPAA Rating,MPAA Rating Quant,MPAA Rating Normz,Running Time (min),Running Time Normz,Distributor,Distributor Quant,Distributro Normz,Source, Source Quant,Source Normz,Major Genre,Major Genre Quant,Major Genre Normz,Rotten Tomatoes Rating,RT Rating Normz,IMDB Rating,IMDB Rating Normz,IMDB Votes,IMDB Votes Normz
Avatar,760167650,1,2767891499,1,146153933,0.414524596,PG-13,6,0.714285714,108,0.352272727,20th Century Fox,1,0,Original Screenplay,15,0.777777778,Action,1,0,83,0.828282828,8.3,0.884615385,261439,0.503211489
Titanic,600788188,0.790336315,1842879955,0.665806378,0,0,PG-13,6,0.714285714,194,0.840909091,Paramount Pictures,96,0.590062112,Original Screenplay,15,0.777777778,Thriller/Suspense,11,0.833333333,82,0.818181818,7.4,0.769230769,240732,0.463355154
The Lord of the Rings: The Return of the King,377027325,0.495978896,1133027325,0.409346636,0,0,PG-13,6,0.714285714,201,0.880681818,New Line,86,0.527950311,Based on Book/Short Story,1,0,Adventure,2,0.083333333,54,0.535353535,8.8,0.948717949,364077,0.700766638
Pirates of the Caribbean: Dead Man's Chest,423315812,0.556871401,1065659812,0.385007704,320830925,0.90994684,PG-13,6,0.714285714,151,0.596590909,Walt Disney Pictures,148,0.913043478,Disney Ride,13,0.666666667,Adventure,2,0.083333333,54,0.535353535,7.3,0.756410256,150446,0.289574836
Toy Story 3,410640665,0.540197245,1046340665,0.378027969,0,0,G,1,0,102,0.318181818,Walt Disney Pictures,148,0.913043478,Original Screenplay,15,0.777777778,Adventure,2,0.083333333,99,0.98989899,8.9,0.961538462,67380,0.129691401
Alice in Wonderland,334191110,0.439627854,1023291110,0.36970049,70909558,0.201115052,PG,5,0.571428571,108,0.352272727,Walt Disney Pictures,148,0.913043478,Based on Book/Short Story,1,0,Adventure,2,0.083333333,51,0.505050505,6.7,0.679487179,63458,0.12214243
The Dark Knight,533345358,0.701615271,1022345358,0.369358803,234119058,0.664012975,PG-13,6,0.714285714,152,0.602272727,Warner Bros.,150,0.925465839,Based on Comic/Graphic Novel,2,0.055555556,Action,1,0,93,0.929292929,8.9,0.961538462,465000,0.895020797
Harry Potter and the Sorcerer's Stone,317557891,0.417746855,976457891,0.352780309,0,0,PG,5,0.571428571,152,0.602272727,Warner Bros.,150,0.925465839,Based on Book/Short Story,1,0,Adventure,2,0.083333333,54,0.535353535,7.2,0.743589744,132238,0.254528517
Pirates of the Caribbean: At World's End,309420425,0.407042018,960996492,0.347194323,296060575,0.839692697,PG-13,6,0.714285714,167,0.6875,Walt Disney Pictures,148,0.913043478,Disney Ride,13,0.666666667,Adventure,2,0.083333333,45,0.444444444,7,0.717948718,133241,0.256459067
Harry Potter and the Order of the Phoenix,292004738,0.384131681,938468864,0.339055409,220867077,0.626427452,PG-13,6,0.714285714,138,0.522727273,Warner Bros.,150,0.925465839,Based on Book/Short Story,1,0,Adventure,2,0.083333333,78,0.777777778,7.4,0.769230769,104074,0.200319128
